Sensor,Data,Valor,Unidade,Direcao_Saida,Estado
PZ-BM-BV-54,2013-09-28 11:30:00,24.57,m,Cota Piezométrica,normal
PZ-BM-BV-54,2013-09-28 11:30:00,0.0,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-53,2013-10-07 10:40:00,0.0,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-53,2013-10-07 10:40:00,27.74,m,Cota Piezométrica,normal
PZ-BM-BV-53,2013-10-09 14:49:00,27.74,m,Cota Piezométrica,normal
PZ-BM-BV-53,2013-10-09 14:49:00,0.0,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-54,2013-10-09 14:50:00,0.0,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-54,2013-10-09 14:50:00,24.57,m,Cota Piezométrica,normal
PZ-BM-BV-54,2013-10-15 09:05:00,26.97,m,Cota Piezométrica,normal
PZ-BM-BV-53,2013-10-15 09:05:00,28.02,m,Cota Piezométrica,normal
PZ-BM-BV-54,2013-10-15 09:05:00,2.4,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-53,2013-10-15 09:05:00,0.28,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-53,2013-10-29 18:00:00,0.48,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-53,2013-10-29 18:00:00,28.22,m,Cota Piezométrica,normal
PZ-BM-BV-53,2013-11-08 09:35:00,28.82,m,Cota Piezométrica,normal
PZ-BM-BV-53,2013-11-08 09:35:00,1.08,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-54,2013-11-08 09:35:00,4.17,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-54,2013-11-08 09:35:00,28.74,m,Cota Piezométrica,normal
PZ-BM-BV-54,2013-11-14 08:50:00,4.42,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-53,2013-11-14 08:50:00,29.05,m,Cota Piezométrica,normal
PZ-BM-BV-53,2013-11-14 08:50:00,1.31,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-54,2013-11-14 08:50:00,28.99,m,Cota Piezométrica,normal
PZ-BM-BV-53,2013-11-22 09:30:00,29.65,m,Cota Piezométrica,normal
PZ-BM-BV-53,2013-11-22 09:30:00,1.91,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-54,2013-11-22 09:30:00,4.33,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-54,2013-11-22 09:30:00,28.9,m,Cota Piezométrica,normal
PZ-BM-BV-54,2013-11-30 09:45:00,29.39,m,Cota Piezométrica,normal
PZ-BM-BV-54,2013-11-30 09:45:00,4.82,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-53,2013-11-30 09:47:00,2.41,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-53,2013-11-30 09:47:00,30.15,m,Cota Piezométrica,normal
PZ-BM-BV-54,2013-12-04 09:30:00,29.55,m,Cota Piezométrica,normal
PZ-BM-BV-54,2013-12-04 09:30:00,4.98,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-53,2013-12-04 09:30:00,30.3,m,Cota Piezométrica,normal
PZ-BM-BV-53,2013-12-04 09:30:00,2.56,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-53,2013-12-14 10:20:00,30.49,m,Cota Piezométrica,normal
PZ-BM-BV-53,2013-12-14 10:20:00,2.75,m.c.a,Carga Piezométrica,normal
PZ-BM-BV-54,2013-12-14 10:20:00,5.2,m.c.a,Carga Piezométrica,normal
