Sensor;N;E;Latitude;Longitude;Altura
MS‐D06C‐01;9651347939;413549367;-3,1543963035193;-51,778508455861;100
MS‐D06C‐02;9651512,23;413535656;-3,1529099971604;-51,778630739778;100
MS‐D06C‐03;9651639547;413574444;-3,1517585271213;-51,778280815118;100
MS‐D06C‐04;9651783263;413617353;-3,1504587255132;-51,777893686539;100
MS‐D06C‐05;9651938736;413664,42;-3,1490525949996;-51,777469063434;100
MS‐D06C‐06;9652041786;413695025;-3,1481205881614;-51,777192950009;100
MS‐D06C‐07;9652117284;413717708;-3,1474377686246;-51,77698831082;100
MS‐D06C‐08;9652212,18;413746397;-3,1465795169277;-51,776729491566;100
MS‐D06C‐09;9651626334;413613677;-3,1518783190247;-51,777927820734;80
MS‐D06C‐10;9651770025;413656,67;-3,1505787448126;-51,777539942093;80
MS‐D06C‐11;9651915084;413701187;-3,1492668061171;-51,777138340451;80
MS‐D06C‐12;9652029177;413735511;-3,1482349257483;-51,776828683392;80
MS‐D06C‐13;9652106775;413758023;-3,1475331069465;-51,776625566519;80
MS‐D06C‐14;9651751669;413702645;-3,1507451084218;-51,777126314395;60
MS‐D06C‐15;9651900761;413747528;-3,1493966893753;-51,776721393189;60
MS‐D06C‐16;9652015,65;413781423;-3,1483576005778;-51,776415594564;60
MS‐D06C‐17;9652092832;413803542;-3,1476595467495;-51,776216012069;60
MS‐D06C‐18;9651249079;413564117;-3,1552907123699;-51,778376372299;100
PZ‐D06C‐01;9651350528;413567872;-3,154373011599;-51,778341900271;84,33
PZ‐D06C‐02;9651350528;413567872;-3,154373011599;-51,778341900271;74,93
PZ‐D06C‐03;9651355248;413600647;-3,154330529557;-51,778046904987;74,89
PZ‐D06C‐04;9651634281;413591662;-3,151806280872;-51,778125889647;58,79
PZ‐D06C‐05;9651634281;413591662;-3,151806280872;-51,778125889647;50,27
PZ‐D06C‐06;9651621332;413635514;-3,151923713896;-51,777731333011;59,72
PZ‐D06C‐07;9651621332;413635514;-3,151923713896;-51,777731333011;49,84
PZ‐D06C‐08;9651608321;413680156;-3,152041718412;-51,777329673393;49,89
PZ‐D06C‐09;9651922791;413678159;-3,149196936103;-51,777345530654;45,91
PZ‐D06C‐10;9651922791;413678159;-3,149196936103;-51,777345530654;27,63
PZ‐D06C‐11;9651907359;413721339;-3,149336824973;-51,77695703634;39,22
PZ‐D06C‐12;9651907359;413721339;-3,149336824973;-51,77695703634;31,66
PZ‐D06C‐13;9651880097;413821,05;-3,149584113127;-51,776059881442;29,58
PZ‐D06C‐14;9651980626;413861,23;-3,148674972908;-51,775697604435;37,5
PZ‐D06C‐15;9652113217;413735151;-3,147474677121;-51,776831359227;53,54
PZ‐D06C‐16;9652113217;413735151;-3,147474677121;-51,776831359227;45,1
PZ‐D06C‐17;9652099972;413779185;-3,147594794536;-51,776435165226;55,16
PZ‐D06C‐18;9652099972;413779185;-3,147594794536;-51,776435165226;45,11
PZ‐D06C‐17A;9652079388;413801755;-3,147781151373;-51,776232186754;55,28
PZ‐D06C‐18A;9652079388;413801755;-3,147781151373;-51,776232186754;35,14
PZ‐D06C‐19;9652080079;413845544;-3,14777519412;-51,775838105029;45,25
PZ‐D06C‐20;9651244938;413620599;-3,155328560149;-51,777868094347;65
PZ‐D06C‐21;9651386564;413638741;-3,154047503426;-51,7777038753;65
PZ‐D06C‐22;9651538049;413665279;-3,15267730741;-51,777464027639;71,5
PZ‐D06C‐23;9651734332;413744784;-3,15090222974;-51,776747203425;56,5
PZ‐D06C‐24;9652149149;413871,24;-3,147150547141;-51,775606397192;61,5
PZ‐D06C‐25;9652211,7;413841393;-3,1465844973;-51,775874579308;73
PZ‐D06C‐26;9651485417;413834117;-3,153154570074;-51,775944927197;57
PZ‐D06C‐27;9652117851;413942501;-3,147434157806;-51,774965293475;46,5
PZ‐D06C‐28;9651419211;413754205;-3,153752942494;-51,776664536049;65
PZ‐D06C‐29;9652165232;413909033;-3,147005309651;-51,775266175139;65
RN‐D06C‐01;9652296116;413797627;-3,1458205570471;-51,776267886797;99,5
RN‐D06C‐02;9651146925;413619,3;-3,1562151929684;-51,777880446608;102
RN‐D06C‐03;9651460412;413587734;-3,1533791111141;-51,778162416301;87
RN‐D06C‐04;9651794062;413763697;-3,1503620176539;-51,77657659714;54,5
MV‐D06C‐01;9651467451;413831766;-3,153317079752;-51,775966200918;57
MV‐D06C‐02;9651574873;413640264;-3,1523440201867;-51,777688903885;68,5
MV‐D06C‐03;9651906,05;413824214;-3,1493493638799;-51,776031225297;38
MV‐D06C‐04;9652152274;413817837;-3,1471219140225;-51,776086968265;65
RM‐D06C‐01;9651928313;413655231;-3,1491468264103;-51,77755183193;100
RM‐D06C‐02;9651928313;413655231;-3,1491468264103;-51,77755183193;100
RM‐D06C‐03;9651928313;413655231;-3,1491468264103;-51,77755183193;100
RM‐D06C‐04;9651928313;413655231;-3,1491468264103;-51,77755183193;100
