,Sensor
0,IN‐BM‐BV‐11
1,IN‐BM‐BV‐12
2,MNA-AEF1-01
106,MNA-AEF1-02
130,MNA-BM-BV-51
392,MNA-BM-BV-81
651,MNA-SM-7500A
1118,MNA-SM-7502A
1596,MNA-SM-7531
1832,MNA-SM-7533
2072,MNA-SM-7534
2316,MNA-SM-7535
2737,MNA-SM-7537
3231,MNA-SM-7538
3713,MNA-SM-7539
4186,MNA-SM-7540
4660,MNA-SM-7541
5173,MNA-SM-7542
5680,MNA‐BM‐BV‐51
5681,MNA‐BM‐BV‐81
5682,MR‐BM‐BV‐11
5683,MR‐BM‐BV‐31
5684,MS-BM-BV-01-ER
5762,MS-BM-BV-01-TC
5867,MS-BM-BV-02-ER
5945,MS-BM-BV-02-TC
6023,MS-BM-BV-11-ER
6101,MS-BM-BV-11-TC
6200,MS-BM-BV-12-ER
6278,MS-BM-BV-12-TC
6356,MS-BM-BV-21-ER
6434,MS-BM-BV-21-TC
6554,MS-BM-BV-22-ER
6632,MS-BM-BV-22-TC
6710,MS-BM-BV-31-ER
6788,MS-BM-BV-31-TC
6902,MS-BM-BV-32-ER
6980,MS-BM-BV-41-ER
7058,MS-BM-BV-41-TC
7163,MS-BM-BV-42-ER
7241,MS-BM-BV-51-ER
7319,MS-BM-BV-52-ER
7397,MS-BM-BV-61-ER
7475,MS-BM-BV-62-ER
7553,MS-BM-BV-71-ER
7631,MS-BM-BV-72-ER
7709,MS-BM-BV-81-ER
7787,MS-BM-BV-82-ER
7865,MS-D06C-01-ER
7955,MS-D06C-01-TC
8093,MS-D06C-02-ER
8183,MS-D06C-02-TC
8318,MS-D06C-03-ER
8408,MS-D06C-03-TC
8546,MS-D06C-04-ER
8636,MS-D06C-04-TC
8768,MS-D06C-05-ER
8858,MS-D06C-05-TC
8981,MS-D06C-06-ER
9071,MS-D06C-06-TC
9182,MS-D06C-07-ER
9272,MS-D06C-07-TC
9395,MS-D06C-08-ER
9485,MS-D06C-08-TC
9599,MS-D06C-09-ER
9689,MS-D06C-09-TC
9743,MS-D06C-10-ER
9833,MS-D06C-10-TC
9887,MS-D06C-11-ER
9977,MS-D06C-11-TC
10034,MS-D06C-12-ER
10124,MS-D06C-12-TC
10181,MS-D06C-13-ER
10271,MS-D06C-13-TC
10328,MS-D06C-14-ER
10418,MS-D06C-14-TC
10493,MS-D06C-15-ER
10583,MS-D06C-15-TC
10637,MS-D06C-16-ER
10727,MS-D06C-16-TC
10793,MS-D06C-17-ER
10883,MS-D06C-17-TC
10961,MS-D06C-18-ER
11048,MS-D06C-18-TC
11162,MS‐BM‐BV‐01
11163,MS‐BM‐BV‐02
11164,MS‐BM‐BV‐11
11165,MS‐BM‐BV‐12
11166,MS‐BM‐BV‐21
11167,MS‐BM‐BV‐22
11168,MS‐BM‐BV‐31
11169,MS‐BM‐BV‐32
11170,MS‐BM‐BV‐41
11171,MS‐BM‐BV‐42
11172,MS‐BM‐BV‐51
11173,MS‐BM‐BV‐52
11174,MS‐BM‐BV‐61
11175,MS‐BM‐BV‐62
11176,MS‐BM‐BV‐71
11177,MS‐BM‐BV‐72
11178,MS‐BM‐BV‐81
11179,MS‐BM‐BV‐82
11180,MS‐D06C‐01
11181,MS‐D06C‐02
11182,MS‐D06C‐03
11183,MS‐D06C‐04
11184,MS‐D06C‐05
11185,MS‐D06C‐06
11186,MS‐D06C‐07
11187,MS‐D06C‐08
11188,MS‐D06C‐09
11189,MS‐D06C‐10
11190,MS‐D06C‐11
11191,MS‐D06C‐12
11192,MS‐D06C‐13
11193,MS‐D06C‐14
11194,MS‐D06C‐15
11195,MS‐D06C‐16
11196,MS‐D06C‐17
11197,MS‐D06C‐18
11198,MV-BM-BV-02
11237,MV-BM-BV-31
12623,MV-BM-BV-51
14003,MV-BM-BV-81
15383,MV-D06C-01
16994,MV-D06C-02
17996,MV-D06C-03
19586,MV-D06C-04
21050,MV-D06C-05
21269,MV-GRABEN-01
21397,MV-JF1-1
21784,MV‐BM‐BV‐31
21785,MV‐BM‐BV‐51
21786,MV‐BM‐BV‐81
21787,MV‐D06C‐01
21788,MV‐D06C‐02
21789,MV‐D06C‐03
21790,MV‐D06C‐04
21791,PA-D06C-01
21810,PA-D06C-02
21838,PA-D06C-03
21867,PA-D06C-04
21896,PA-D06C-05
21918,PA-D06C-06
21947,PA-D06C-07
21976,PA-D06C-08
22007,PA-D06C-09
22038,PA-D06C-10
22066,PA-D06C-11
22097,PA-D06C-12
22126,PA-D06C-13
22154,PA-D06C-14
22185,PA-D06C-15
22198,PA-D06C-16
22223,PA-D06C-17
22252,PA-D06C-18
22281,PA-D06C-19
22310,PA-D06C-20
22339,PA-D06C-21
22340,PE-BM-BV-51
23356,PE-BM-BV-52
24368,PE-BM-BV-71
25326,PE-BM-BV-72
26286,PE-BM-BV-81
27192,PE-BM-BV-82
28102,PE‐BM‐BV‐51
28103,PE‐BM‐BV‐52
28104,PE‐BM‐BV‐71
28105,PE‐BM‐BV‐72
28106,PE‐BM‐BV‐81
28107,PE‐BM‐BV‐82
28108,PZ-BM-BV-11
28778,PZ-BM-BV-12
29388,PZ-BM-BV-13
30066,PZ-BM-BV-14
30744,PZ-BM-BV-15
31272,PZ-BM-BV-31
31928,PZ-BM-BV-32
32588,PZ-BM-BV-33
33246,PZ-BM-BV-34
33904,PZ-BM-BV-35
34430,PZ-BM-BV-36
35076,PZ-BM-BV-51
35708,PZ-BM-BV-52
36506,PZ-BM-BV-53
37204,PZ-BM-BV-54
37904,PZ-BM-BV-55
38552,PZ-BM-BV-56
39080,PZ-BM-BV-71
39712,PZ-BM-BV-72
40366,PZ-BM-BV-73
40890,PZ-BM-BV-81
41452,PZ-BM-BV-82
42006,PZ-BM-BV-83
42616,PZ-D06C-01
43140,PZ-D06C-02
43672,PZ-D06C-03
44200,PZ-D06C-04
44928,PZ-D06C-05
45672,PZ-D06C-06
46408,PZ-D06C-07
47142,PZ-D06C-08
47674,PZ-D06C-09
48458,PZ-D06C-10
49096,PZ-D06C-11
49880,PZ-D06C-12
50674,PZ-D06C-13
51276,PZ-D06C-14
51880,PZ-D06C-15
52522,PZ-D06C-16
53124,PZ-D06C-17
53770,PZ-D06C-17A
53966,PZ-D06C-18A
54158,PZ-D06C-19
54688,PZ-D06C-20
55218,PZ-D06C-21
55752,PZ-D06C-22
56270,PZ-D06C-23
